Geneid,Ensembl,Length
EGF,ENSG00000138798,100884
EGFL6,ENSG00000198759,63975
EGFL7,ENSG00000172889,14396
EGFL8,ENSG00000241404,4536
EGFLAM,ENSG00000164318,207072
EGFR,ENSG00000146648,192809
EGLN1,ENSG00000135766,58994
EGLN2,ENSG00000269858,9449
EGLN3,ENSG00000129521,538548
EGR1,ENSG00000120738,3825
EGR2,ENSG00000122877,7172
EGR3,ENSG00000179388,5822
EGR4,ENSG00000135625,2795
EHBP1,ENSG00000115504,372637
EHBP1L1,ENSG00000173442,16909
EHD1,ENSG00000110047,36731
EHD2,ENSG00000024422,29719
EHD3,ENSG00000013016,35491
EHD4,ENSG00000103966,76661
EHF,ENSG00000135373,46343
EHHADH,ENSG00000113790,91367
EHMT1,ENSG00000181090,251040
EHMT2,ENSG00000204371,17966
EI24,ENSG00000149547,16443
EID1,ENSG00000255302,2040
EID2,ENSG00000176396,1455
EID2B,ENSG00000176401,1866
EID3,ENSG00000255150,1467
EIF1,ENSG00000173812,3786
EIF1AD,ENSG00000175376,5928
EIF1AX,ENSG00000173674,17458
EIF1AY,ENSG00000198692,17461
EIF1B,ENSG00000114784,2718
EIF2A,ENSG00000144895,39339
EIF2AK1,ENSG00000086232,36985
EIF2AK2,ENSG00000055332,58479
EIF2AK3,ENSG00000172071,134778
EIF2AK4,ENSG00000128829,101622
EIF2B1,ENSG00000111361,13361
EIF2B2,ENSG00000119718,9473
EIF2B3,ENSG00000070785,136201
EIF2B4,ENSG00000115211,6981
EIF2B5,ENSG00000145191,11090
EIF2D,ENSG00000143486,41223
EIF2S1,ENSG00000134001,26506
EIF2S2,ENSG00000125977,23971
EIF2S3,ENSG00000130741,23900
EIF2S3L,,
EIF3A,ENSG00000107581,47166
EIF3B,ENSG00000106263,26662
EIF3C,ENSG00000184110,47173
EIF3CL,ENSG00000205609,24450
EIF3D,ENSG00000100353,18396
EIF3E,ENSG00000104408,280710
EIF3F,ENSG00000175390,31612
EIF3G,ENSG00000130811,4942
EIF3H,ENSG00000147677,124796
EIF3I,ENSG00000084623,24321
EIF3J,ENSG00000104131,25932
EIF3K,ENSG00000178982,17905
EIF3L,ENSG00000100129,40540
EIF3M,ENSG00000149100,22480
EIF4A1,ENSG00000161960,6247
EIF4A2,ENSG00000156976,6697
EIF4A3,ENSG00000141543,12783
EIF4B,ENSG00000063046,35952
EIF4E,ENSG00000151247,50390
EIF4E2,ENSG00000135930,32986
EIF4E3,ENSG00000163412,79360
EIF4EBP1,ENSG00000187840,29854
EIF4EBP2,ENSG00000148730,24475
EIF4EBP3,ENSG00000243056,1915
EIF4ENIF1,ENSG00000184708,60071
EIF4G1,ENSG00000114867,20869
EIF4G2,ENSG00000110321,11891
EIF4G3,ENSG00000075151,370994
EIF4H,ENSG00000106682,22892
EIF5,ENSG00000100664,11482
EIF5A,ENSG00000132507,5523
EIF5A2,ENSG00000163577,20227
EIF5AL1,ENSG00000253626,3908
EIF5B,ENSG00000158417,63956
EIF6,ENSG00000242372,6080
ELAC1,ENSG00000141642,21003
ELAC2,ENSG00000006744,26798
ELANE,ENSG00000197561,5297
ELAVL1,ENSG00000066044,47490
ELAVL2,ENSG00000107105,136254
ELAVL3,ENSG00000196361,29726
ELAVL4,ENSG00000162374,179744
ELF1,ENSG00000120690,130199
ELF2,ENSG00000109381,149113
ELF3,ENSG00000163435,9239
ELF4,ENSG00000102034,46950
ELF5,ENSG00000135374,46403
ELFN1,ENSG00000225968,82202
ELK1,ENSG00000126767,18984
ELK3,ENSG00000111145,75858
ELK4,ENSG00000158711,36965
ELL,ENSG00000105656,79454
ELL2,ENSG00000118985,76774
ELL3,ENSG00000128886,4711
ELMO1,ENSG00000155849,596318
ELMO2,ENSG00000062598,66939
ELMO3,ENSG00000102890,4919
ELMOD1,ENSG00000110675,75689
ELMOD2,ENSG00000179387,29612
ELMOD3,ENSG00000115459,37359
ELMSAN1,,
ELN,ENSG00000049540,42121
ELOF1,ENSG00000130165,8179
ELOVL1,ENSG00000066322,4680
ELOVL2,ENSG00000197977,63641
ELOVL3,ENSG00000119915,3291
ELOVL4,ENSG00000118402,32740
ELOVL5,ENSG00000012660,88895
ELOVL6,ENSG00000170522,153354
ELOVL7,ENSG00000164181,92484
ELP2,ENSG00000134759,51114
ELP3,ENSG00000134014,101484
ELP4,ENSG00000109911,280570
ELP5,ENSG00000170291,9343
ELP6,ENSG00000163832,18073
ELSPBP1,ENSG00000169393,30523
EMB,ENSG00000170571,47057
EMC1,ENSG00000127463,35893
EMC10,ENSG00000161671,14472
EMC2,ENSG00000104412,45596
EMC3,ENSG00000125037,48521
EMC4,ENSG00000128463,5149
EMC6,ENSG00000127774,857
EMC7,ENSG00000134153,17931
EMC8,ENSG00000131148,27868
EMC9,ENSG00000100908,3066
EMCN,ENSG00000164035,484786
EMD,ENSG00000102119,2331
EME1,ENSG00000154920,8264
EME2,ENSG00000197774,8899
EMG1,ENSG00000126749,9132
EMID1,ENSG00000186998,53790
EMILIN1,ENSG00000138080,8365
EMILIN2,ENSG00000132205,69074
EMILIN3,ENSG00000183798,6857
EML1,ENSG00000066629,204368
EML2,ENSG00000125746,38609
EML3,ENSG00000149499,10757
EML4,ENSG00000143924,163219
EMP1,ENSG00000134531,23219
EMP2,ENSG00000213853,52268
EMP3,ENSG00000142227,9251
EMX1,ENSG00000135638,19812
EMX2,ENSG00000170370,7102
EN1,ENSG00000163064,5478
EN2,ENSG00000164778,6703
ENAH,ENSG00000154380,166534
ENAM,ENSG00000132464,18081
ENC1,ENSG00000171617,14019
ENDOD1,ENSG00000149218,42829
ENDOG,ENSG00000167136,4216
ENDOU,ENSG00000111405,15834
ENDOV,ENSG00000173818,22929
ENG,ENSG00000106991,44103
ENGASE,ENSG00000167280,13776
ENHO,ENSG00000168913,2132
ENKD1,ENSG00000124074,4321
ENKUR,ENSG00000151023,80301
ENO1,ENSG00000074800,18313
ENO2,ENSG00000111674,9963
ENO3,ENSG00000108515,9087
ENO4,ENSG00000188316,62308
ENOPH1,ENSG00000145293,30589
ENOSF1,ENSG00000132199,42405
ENOX1,ENSG00000120658,574325
ENOX2,ENSG00000165675,280948
ENPEP,ENSG00000138792,199553
ENPP1,ENSG00000197594,87163
ENPP2,ENSG00000136960,116369
ENPP3,ENSG00000154269,119127
ENPP4,ENSG00000001561,16736
ENPP5,ENSG00000112796,12632
ENPP6,ENSG00000164303,132525
ENPP7,ENSG00000182156,14122
ENSA,ENSG00000143420,28762
ENTHD1,ENSG00000176177,150821
ENTHD2,,
ENTPD1,ENSG00000138185,165488
ENTPD2,ENSG00000054179,5955
ENTPD3,ENSG00000168032,41561
ENTPD4,ENSG00000197217,71934
ENTPD5,ENSG00000187097,61390
ENTPD6,ENSG00000197586,32383
ENTPD7,ENSG00000198018,51827
ENTPD8,ENSG00000188833,7520
ENY2,ENSG00000120533,11631
EOGT,ENSG00000163378,38468
EOMES,ENSG00000163508,6763
EP300,ENSG00000100393,88262
EP400,ENSG00000183495,130530
EP400NL,,
EPAS1,ENSG00000116016,93031
EPB41,ENSG00000159023,232956
EPB41L1,ENSG00000088367,141296
EPB41L2,ENSG00000079819,224019
EPB41L3,ENSG00000082397,238322
EPB41L4A,ENSG00000129595,276873
EPB41L4B,ENSG00000095203,149605
EPB41L5,ENSG00000115109,166054
EPB42,ENSG00000166947,23792
EPC1,ENSG00000120616,111048
EPC2,ENSG00000135999,144170
EPCAM,ENSG00000119888,42444
EPDR1,ENSG00000086289,31297
EPG5,ENSG00000152223,166760
EPGN,ENSG00000182585,8320
EPHA1,ENSG00000146904,18568
EPHA10,ENSG00000183317,51254
EPHA2,ENSG00000142627,31733
EPHA3,ENSG00000044524,374916
EPHA4,ENSG00000116106,156176
EPHA5,ENSG00000145242,350933
EPHA6,ENSG00000080224,946952
EPHA7,ENSG00000135333,179668
EPHA8,ENSG00000070886,40107
EPHB1,ENSG00000154928,465208
EPHB2,ENSG00000133216,210662
EPHB3,ENSG00000182580,20633
EPHB4,ENSG00000196411,24993
EPHB6,ENSG00000106123,16165
EPHX1,ENSG00000143819,35473
EPHX2,ENSG00000120915,58218
EPHX3,ENSG00000105131,6693
EPHX4,ENSG00000172031,34064
EPM2A,ENSG00000112425,353489
EPM2AIP1,ENSG00000178567,8089
EPN1,ENSG00000063245,34750
EPN2,ENSG00000072134,121879
EPN3,ENSG00000049283,11203
EPO,ENSG00000130427,3233
EPOR,ENSG00000187266,7137
EPPIN,ENSG00000101448,7127
EPPIN-WFDC6,ENSG00000249139,13467
EPPK1,ENSG00000261150,21144
EPRS,,
EPS15,ENSG00000085832,165125
EPS15L1,ENSG00000127527,116861
EPS8,ENSG00000151491,262197
EPS8L1,ENSG00000131037,18105
EPS8L2,ENSG00000177106,33292
EPS8L3,ENSG00000198758,13985
EPSTI1,ENSG00000133106,106005
EPT1,,
EPX,ENSG00000121053,12449
EPYC,ENSG00000083782,41345
EQTN,ENSG00000120160,12497
ERAL1,ENSG00000132591,6059
ERAP1,ENSG00000164307,47291
ERAP2,ENSG00000164308,43718
ERAS,ENSG00000187682,3626
ERBB2,ENSG00000141736,42513
ERBB2IP,,
ERBB3,ENSG00000065361,26707
ERBB4,ENSG00000178568,1163125
ERC1,ENSG00000082805,505936
ERC2,ENSG00000187672,960810
ERCC1,ENSG00000012061,71535
ERCC2,ENSG00000104884,21146
ERCC3,ENSG00000163161,36904
ERCC4,ENSG00000175595,32211
ERCC5,ENSG00000134899,30165
ERCC6,ENSG00000225830,85371
ERCC6-PGBD3,,
ERCC6L,ENSG00000186871,34371
ERCC6L2,ENSG00000182150,249891
ERCC8,ENSG00000049167,78620
EREG,ENSG00000124882,23605
ERF,ENSG00000105722,7563
ERG,ENSG00000157554,281754
ERGIC1,ENSG00000113719,118542
ERGIC2,ENSG00000087502,43838
ERGIC3,ENSG00000125991,15611
ERH,ENSG00000100632,18212
ERI1,ENSG00000104626,114600
ERI2,ENSG00000196678,120157
ERI3,ENSG00000117419,134198
ERICH1,ENSG00000104714,123361
ERICH2,ENSG00000204334,32100
ERICH3,ENSG00000178965,105676
ERICH5,ENSG00000177459,31242
ERICH6,ENSG00000163645,44087
ERICH6B,ENSG00000165837,81218
ERLEC1,ENSG00000068912,46030
ERLIN1,ENSG00000107566,35940
ERLIN2,ENSG00000147475,21822
ERMAP,ENSG00000164010,28830
ERMARD,ENSG00000130023,30034
ERMN,ENSG00000136541,9088
ERMP1,ENSG00000099219,129706
ERN1,ENSG00000178607,91740
ERN2,ENSG00000134398,22964
ERO1L,,
ERO1LB,,
ERP27,ENSG00000139055,24499
ERP29,ENSG00000089248,12454
ERP44,ENSG00000023318,119868
ERRFI1,ENSG00000116285,21909
ERV3-1,ENSG00000213462,16388
ERVFRD-1,ENSG00000244476,9522
ERVMER34-1,ENSG00000226887,29280
ERVV-1,ENSG00000269526,2203
ERVW-1,ENSG00000242950,9607
ESAM,ENSG00000149564,9733
ESCO1,ENSG00000141446,71926
ESCO2,ENSG00000171320,40692
ESD,ENSG00000139684,29025
ESM1,ENSG00000164283,44805
ESPN,ENSG00000187017,36592
ESPNL,ENSG00000144488,32948
ESR1,ENSG00000091831,478336
ESR2,ENSG00000140009,253881
ESRP1,ENSG00000104413,66480
ESRP2,ENSG00000103067,9070
ESRRA,ENSG00000173153,11665
ESRRB,ENSG00000119715,191126
ESRRG,ENSG00000196482,634510
ESX1,ENSG00000123576,4896
ESYT1,ENSG00000139641,26425
ESYT2,ENSG00000117868,99259
ESYT3,ENSG00000158220,47101
ETAA1,ENSG00000143971,14768
ETF1,ENSG00000120705,37147
ETFA,ENSG00000140374,123176
ETFB,ENSG00000105379,21289
ETFDH,ENSG00000171503,38791
ETHE1,ENSG00000105755,20539
ETNK1,ENSG00000139163,65591
ETNK2,ENSG00000143845,20983
ETNPPL,ENSG00000164089,21260
ETS1,ENSG00000134954,128846
ETS2,ENSG00000157557,19842
ETV1,ENSG00000006468,100197
ETV2,ENSG00000105672,3127
ETV3,ENSG00000117036,17284
ETV3L,ENSG00000253831,25835
ETV4,ENSG00000175832,51779
ETV5,ENSG00000244405,64005
ETV6,ENSG00000139083,245764
ETV7,ENSG00000010030,33710
EVA1A,ENSG00000115363,101735
EVA1B,ENSG00000142694,2125
EVA1C,ENSG00000166979,105449
EVC,ENSG00000072840,103105
EVC2,ENSG00000173040,166777
EVI2A,ENSG00000126860,5340
EVI2B,ENSG00000185862,10652
EVI5,ENSG00000067208,283721
EVI5L,ENSG00000142459,34799
EVL,ENSG00000196405,172788
EVPL,ENSG00000167880,22937
EVPLL,ENSG00000214860,11979
EVX1,ENSG00000106038,7794
EWSR1,ENSG00000182944,32522
EXD1,ENSG00000178997,48033
EXD2,ENSG00000081177,52523
EXD3,ENSG00000187609,116367
EXO1,ENSG00000174371,47182
EXO5,ENSG00000164002,9284
EXOC1,ENSG00000090989,51469
EXOC2,ENSG00000112685,208037
EXOC3,ENSG00000180104,29416
EXOC3L1,ENSG00000179044,5929
EXOC3L2,ENSG00000283632,33038
EXOC3L4,ENSG00000205436,16033
EXOC4,ENSG00000131558,814067
EXOC5,ENSG00000070367,68468
EXOC6,ENSG00000138190,232663
EXOC6B,ENSG00000144036,650068
EXOC7,ENSG00000182473,40582
EXOC8,ENSG00000116903,5100
EXOG,ENSG00000157036,46035
EXOSC1,ENSG00000171311,18072
EXOSC10,ENSG00000171824,33286
EXOSC2,ENSG00000130713,13568
EXOSC3,ENSG00000107371,72884
EXOSC4,ENSG00000178896,2624
EXOSC5,ENSG00000077348,11089
EXOSC6,ENSG00000223496,5163
EXOSC7,ENSG00000075914,60826
EXOSC8,ENSG00000120699,27066
EXOSC9,ENSG00000123737,15704
EXPH5,ENSG00000110723,88334
EXT1,ENSG00000182197,317337
EXT2,ENSG00000151348,156315
EXTL1,ENSG00000158008,16581
EXTL2,ENSG00000162694,23629
EXTL3,ENSG00000012232,156093
EYA1,ENSG00000104313,394594
EYA2,ENSG00000064655,294258
EYA3,ENSG00000158161,118388
EYA4,ENSG00000112319,291615
EYS,ENSG00000188107,1987247
EZH1,ENSG00000108799,44791
EZH2,ENSG00000106462,77074
EZR,ENSG00000092820,53673
F10,ENSG00000126218,26744
F11,ENSG00000088926,31115
F11R,ENSG00000158769,27913
F12,ENSG00000131187,14451
F13A1,ENSG00000124491,176934
F13B,ENSG00000143278,28524
F2,ENSG00000180210,20657
F2R,ENSG00000181104,19645
F2RL1,ENSG00000164251,16383
F2RL2,ENSG00000164220,7932
F2RL3,ENSG00000127533,3608
F3,ENSG00000117525,12679
F5,ENSG00000198734,74638
F7,ENSG00000057593,14924
F8,ENSG00000185010,191153
F8A1,ENSG00000288722,1707
F8A2,ENSG00000288709,1707
F8A3,ENSG00000277150,1707
F9,ENSG00000101981,32721
FA2H,ENSG00000103089,61883
FAAH,ENSG00000117480,21490
FAAH2,ENSG00000165591,204010
FAAP100,ENSG00000185504,14077
FAAP20,ENSG00000162585,28260
FAAP24,ENSG00000131944,6021
FABP1,ENSG00000163586,5134
FABP12,ENSG00000197416,65166
FABP2,ENSG00000145384,4889
FABP3,ENSG00000121769,12841
FABP4,ENSG00000170323,5589
FABP5,ENSG00000164687,4243
FABP6,ENSG00000170231,51373
FABP7,ENSG00000164434,4359
FABP9,ENSG00000205186,3327
FADD,ENSG00000168040,4101
FADS1,ENSG00000149485,29695
FADS2,ENSG00000134824,74375
FADS3,ENSG00000221968,18618
FADS6,ENSG00000172782,16487
FAF1,ENSG00000185104,523252
FAF2,ENSG00000113194,62448
FAH,ENSG00000103876,34699
FAHD1,ENSG00000180185,13241
FAHD2A,ENSG00000115042,13926
FAHD2B,ENSG00000144199,12864
FAIM,ENSG00000158234,24827
FAIM2,ENSG00000135472,37322
FAM101A,,
FAM102A,,
FAM102B,,
FAM103A1,,
FAM104A,,
FAM104B,,
FAM105A,,
FAM106A,ENSG00000273018,114461
FAM107A,ENSG00000168309,63535
FAM107B,ENSG00000065809,256341
FAM109A,,
FAM109B,,
FAM110A,ENSG00000125898,23749
FAM110B,ENSG00000169122,210324
FAM110C,ENSG00000184731,8057
FAM110D,ENSG00000197245,4916
FAM111A,ENSG00000166801,12340
FAM111B,ENSG00000189057,20231
FAM114A1,ENSG00000197712,78064
FAM114A2,ENSG00000055147,48789
FAM117A,ENSG00000121104,78849
FAM117B,ENSG00000138439,134789
FAM118A,ENSG00000100376,33857
FAM118B,ENSG00000197798,51365
FAM120A,ENSG00000048828,114428
FAM120AOS,ENSG00000188938,22141
FAM120B,ENSG00000112584,116365
FAM120C,ENSG00000184083,114958
FAM122A,,
FAM122B,,
FAM122C,,
FAM124A,ENSG00000150510,61906
FAM124B,ENSG00000124019,25287
FAM126A,,
FAM126B,,
FAM127A,,
FAM127B,,
FAM127C,,
FAM129A,,
FAM129B,,
FAM129C,,
FAM131A,ENSG00000175182,12496
FAM131B,ENSG00000159784,9416
FAM131C,ENSG00000185519,15883
FAM132A,,
FAM132B,,
FAM133A,ENSG00000179083,39094
FAM133B,ENSG00000234545,29652
FAM134A,,
FAM134B,,
FAM134C,,
FAM135A,ENSG00000082269,148668
FAM136A,ENSG00000035141,6092
FAM13A,ENSG00000138640,385444
FAM13B,ENSG00000031003,114002
FAM13C,ENSG00000148541,117064
FAM149A,ENSG00000109794,70919
FAM150A,,
FAM150B,,
FAM151A,ENSG00000162391,14379
FAM151B,ENSG00000152380,54595
FAM153A,ENSG00000170074,76455
FAM153B,,
FAM153C,,
FAM155A,,
FAM155B,,
FAM156A,ENSG00000268350,69163
FAM156B,ENSG00000179304,17255
FAM159A,,
FAM159B,,
FAM160A2,,
FAM160B1,,
FAM161A,ENSG00000170264,29296
FAM161B,ENSG00000156050,18914
FAM162A,ENSG00000114023,28174
FAM162B,ENSG00000183807,14017
FAM163A,ENSG00000143340,73765
FAM163B,ENSG00000196990,32343
FAM166A,,
FAM166B,,
FAM167A,ENSG00000154319,54446
FAM167B,ENSG00000183615,1635
FAM168A,ENSG00000054965,197703
FAM168B,ENSG00000152102,45612
FAM169A,ENSG00000198780,89449
FAM169B,,
FAM170A,ENSG00000164334,6265
FAM170B,ENSG00000172538,2868
FAM171A1,ENSG00000148468,159647
FAM171A2,ENSG00000161682,10654
FAM171B,ENSG00000144369,71941
FAM172A,,
FAM173A,,
FAM173B,,
FAM174A,ENSG00000174132,51404
FAM174B,ENSG00000185442,192437
FAM175A,,
FAM175B,,
FAM177A1,ENSG00000151327,71514
FAM178A,,
FAM178B,ENSG00000168754,110699
FAM179B,,
FAM180A,ENSG00000189320,20466
FAM180B,ENSG00000196666,2989
FAM181A,ENSG00000140067,10715
FAM181B,ENSG00000182103,3925
FAM182B,ENSG00000175170,112365
FAM183A,,
FAM184A,ENSG00000111879,189625
FAM184B,ENSG00000047662,152316
FAM185A,ENSG00000222011,60584
FAM186A,ENSG00000185958,70393
FAM186B,ENSG00000135436,22755
FAM187A,ENSG00000214447,1958
FAM187B,ENSG00000177558,3940
FAM188A,,
FAM188B,,
FAM189A2,,
FAM189B,,
FAM192A,,
FAM193A,ENSG00000125386,195928
FAM195A,,
FAM195B,,
FAM196A,,
FAM196B,,
FAM198B,,
FAM199X,ENSG00000123575,29450
FAM19A1,,
FAM19A2,,
FAM19A3,,
FAM19A4,,
FAM19A5,,
FAM200A,ENSG00000221909,13093
FAM200B,ENSG00000237765,8942
FAM204A,ENSG00000165669,44407
FAM205A,,
FAM206A,,
FAM207A,,
FAM208A,,
FAM208B,,
FAM209A,ENSG00000124103,8966
FAM209B,ENSG00000213714,3275
FAM20A,ENSG00000108950,66272
FAM20B,ENSG00000116199,50764
FAM20C,ENSG00000177706,68739
FAM210A,ENSG00000177150,63317
FAM210B,ENSG00000124098,9690
FAM212A,,
FAM212B,,
FAM213A,,
FAM213B,,
FAM214A,,
FAM214B,,
FAM216A,ENSG00000204856,23786
FAM216B,ENSG00000179813,10000
FAM217A,ENSG00000145975,37911
FAM217B,ENSG00000196227,15745
FAM218A,ENSG00000250486,2177
FAM219A,ENSG00000164970,60408
FAM219B,ENSG00000178761,7340
FAM21A,,
FAM21C,,
FAM220A,ENSG00000178397,19571
FAM221A,ENSG00000188732,23136
FAM221B,ENSG00000204930,12357
FAM222A,ENSG00000139438,56671
FAM222B,ENSG00000173065,99262
FAM227B,ENSG00000166262,293968
FAM228A,ENSG00000186453,25799
FAM228B,ENSG00000219626,93117
FAM229A,ENSG00000225828,3009
FAM229B,ENSG00000203778,17102
FAM231A,,
FAM231B,,
FAM231C,,
FAM231D,,
FAM24A,ENSG00000203795,2502
FAM24B,ENSG00000213185,30564
FAM25A,ENSG00000188100,4437
FAM25C,ENSG00000276430,4470
FAM25G,ENSG00000189090,4482
FAM26D,,
FAM26E,,
FAM26F,,
FAM32A,ENSG00000105058,6669
FAM35A,,
FAM3A,ENSG00000071889,10724
FAM3B,ENSG00000183844,53516
FAM3C,ENSG00000196937,50680
FAM3D,ENSG00000198643,32937
FAM43A,ENSG00000185112,3155
FAM43B,ENSG00000183114,2448
FAM45A,,
FAM46A,,
FAM46B,,
FAM46C,,
FAM46D,,
FAM47A,ENSG00000185448,2563
FAM47B,ENSG00000189132,2120
FAM47C,ENSG00000198173,3299
FAM47E,ENSG00000189157,70255
FAM47E-STBD1,ENSG00000272414,59409
FAM49A,,
FAM49B,,
FAM50A,ENSG00000071859,6552
FAM50B,ENSG00000145945,1948
FAM53A,ENSG00000174137,66399
FAM53B,ENSG00000189319,125184
FAM53C,ENSG00000120709,17795
FAM57A,,
FAM57B,,
FAM58A,,
FAM60A,,
FAM63A,,
FAM63B,,
FAM64A,,
FAM65A,,
FAM65B,,
FAM65C,,
FAM69A,,
FAM69B,,
FAM69C,,
FAM71A,,
FAM71B,,
FAM71C,,
FAM71D,,
FAM71E1,,
FAM71F1,,
FAM71F2,,
FAM72A,ENSG00000196550,18236
FAM72B,ENSG00000188610,17894
FAM72C,ENSG00000263513,16700
FAM72D,ENSG00000215784,16726
FAM73A,,
FAM73B,,
FAM76A,ENSG00000009780,37156
FAM76B,ENSG00000077458,21457
FAM78A,ENSG00000126882,19290
FAM78B,ENSG00000188859,109576
FAM81A,ENSG00000157470,150864
FAM81B,ENSG00000153347,59089
FAM83A,ENSG00000147689,31120
FAM83B,ENSG00000168143,98329
FAM83C,ENSG00000125998,6695
FAM83D,ENSG00000101447,26795
FAM83E,ENSG00000105523,15133
FAM83F,ENSG00000133477,48581
FAM84A,,
FAM84B,,
FAM86B1,ENSG00000186523,12038
FAM86B2,ENSG00000145002,12001
FAM86C1,,
FAM89A,ENSG00000182118,21297
FAM89B,ENSG00000176973,1850
FAM8A1,ENSG00000137414,11418
FAM90A1,ENSG00000171847,6362
FAM91A1,ENSG00000176853,47014
FAM92A1,,
FAM92B,,
FAM96A,,
FAM96B,,
FAM98A,ENSG00000119812,66604
FAM98B,ENSG00000171262,33584
FAM98C,ENSG00000130244,5996
FAM9A,ENSG00000183304,10589
FAM9B,ENSG00000177138,271451
FAM9C,ENSG00000187268,9066
FAN1,ENSG00000198690,55651
FANCA,ENSG00000187741,90295
FANCB,ENSG00000181544,182868
FANCC,ENSG00000158169,327743
FANCD2,ENSG00000144554,75568
FANCD2OS,ENSG00000163705,26939
FANCE,ENSG00000112039,14789
FANCF,ENSG00000183161,3291
FANCG,ENSG00000221829,8625
FANCI,ENSG00000140525,74238
FANCL,ENSG00000115392,82168
FANCM,ENSG00000187790,64982
FANK1,ENSG00000203780,113058
FAP,ENSG00000078098,74468
FAR1,ENSG00000197601,64906
FAR2,ENSG00000064763,192106
FARP1,ENSG00000152767,313012
FARP2,ENSG00000006607,138584
FARS2,ENSG00000145982,568149
FARSA,ENSG00000179115,11762
FARSB,ENSG00000116120,89415
FAS,ENSG00000026103,75793
FASLG,ENSG00000117560,7775
FASN,ENSG00000169710,19957
FASTK,ENSG00000164896,4276
FASTKD1,ENSG00000138399,45405
FASTKD2,ENSG00000118246,30833
FASTKD3,ENSG00000124279,9897
FASTKD5,ENSG00000215251,13347
FAT2,ENSG00000086570,87240
FAT3,ENSG00000165323,671656
FAT4,ENSG00000196159,178015
FATE1,ENSG00000147378,9003
FAU,ENSG00000149806,1596
FAXC,ENSG00000146267,78895
FAXDC2,ENSG00000170271,40761
FBF1,ENSG00000188878,31567
FBL,ENSG00000105202,11988
FBLIM1,ENSG00000162458,29991
FBLL1,ENSG00000188573,1330
FBLN1,ENSG00000077942,99744
FBLN2,ENSG00000163520,89350
FBLN5,ENSG00000140092,78655
FBLN7,ENSG00000144152,49834
FBN1,ENSG00000166147,237409
FBN2,ENSG00000138829,401277
FBN3,ENSG00000142449,84292
FBP1,ENSG00000165140,37191
FBP2,ENSG00000130957,35105
FBRSL1,ENSG00000112787,95638
FBXL12,ENSG00000127452,17550
FBXL13,ENSG00000161040,264212
FBXL14,ENSG00000171823,28589
FBXL15,ENSG00000107872,4623
FBXL16,ENSG00000127585,13346
FBXL17,ENSG00000145743,523064
FBXL18,ENSG00000155034,82475
FBXL19,ENSG00000099364,25729
FBXL2,ENSG00000153558,126638
FBXL20,ENSG00000108306,149861
FBXL22,ENSG00000197361,5076
FBXL3,ENSG00000005812,34598
FBXL4,ENSG00000112234,79472
FBXL5,ENSG00000118564,77299
FBXL6,ENSG00000182325,3950
FBXL7,ENSG00000183580,439616
FBXL8,ENSG00000135722,4639
FBXO10,ENSG00000147912,65489
FBXO11,ENSG00000138081,117192
FBXO15,ENSG00000141665,74524
FBXO16,ENSG00000214050,141992
FBXO17,ENSG00000269190,35373
FBXO18,,
FBXO2,ENSG00000116661,18768
FBXO21,ENSG00000135108,48514
FBXO22,ENSG00000167196,38636
FBXO24,ENSG00000106336,17136
FBXO25,ENSG00000147364,71540
FBXO27,ENSG00000161243,43060
FBXO28,ENSG00000143756,47937
FBXO3,ENSG00000110429,33605
FBXO30,ENSG00000118496,21766
FBXO31,ENSG00000103264,65156
FBXO32,ENSG00000156804,43385
FBXO33,ENSG00000165355,34783
FBXO34,ENSG00000178974,98710
FBXO36,ENSG00000153832,90818
FBXO38,ENSG00000145868,59025
FBXO39,ENSG00000177294,20887
FBXO4,ENSG00000151876,16534
FBXO40,ENSG00000163833,37549
FBXO41,ENSG00000163013,29797
FBXO42,ENSG00000037637,105648
FBXO43,ENSG00000156509,12467
FBXO44,ENSG00000132879,12710
FBXO45,ENSG00000174013,20449
FBXO46,ENSG00000177051,20296
FBXO47,ENSG00000204952,30972
FBXO48,ENSG00000204923,7896
FBXO5,ENSG00000112029,13061
FBXO6,ENSG00000116663,10166
FBXO7,ENSG00000100225,24156
FBXO8,ENSG00000164117,47019
FBXO9,ENSG00000112146,48883
FBXW10,ENSG00000171931,35324
FBXW11,ENSG00000072803,145326
FBXW12,ENSG00000164049,29041
FBXW2,ENSG00000119402,41461
FBXW4,ENSG00000107829,84633
FBXW5,ENSG00000159069,4328
FBXW7,ENSG00000109670,215564
FBXW8,ENSG00000174989,121660
FBXW9,ENSG00000132004,8597
FCAMR,ENSG00000162897,12661
FCAR,ENSG00000186431,17186
FCER1A,ENSG00000179639,18511
FCER1G,ENSG00000158869,5466
FCER2,ENSG00000104921,13389
FCF1,ENSG00000119616,25477
FCGBP,ENSG00000275395,71304
FCGR1A,ENSG00000150337,9877
FCGR1B,,
FCGR2A,ENSG00000143226,18599
FCGR2B,ENSG00000072694,16688
FCGR3A,ENSG00000203747,9210
FCGR3B,ENSG00000162747,8768
FCGRT,ENSG00000104870,20112
FCHO1,ENSG00000130475,40855
FCHO2,ENSG00000157107,134535
FCHSD1,ENSG00000197948,12129
FCHSD2,ENSG00000137478,305605
FCMR,ENSG00000162894,19931
FCN1,ENSG00000085265,14723
FCN2,ENSG00000160339,9795
FCN3,ENSG00000142748,5747
FCRL1,ENSG00000163534,27935
FCRL2,ENSG00000132704,31537
